"dynamicRoutes_plugin_qtip","In plaats van vaste routes kan er een bovenliggend document worden ingesteld.<br />De url van dit document wordt gebruikt voorafgaand in het patroon: [document->getFullPath()]/[pattern].<br />Verder werkt dit evenals statische routes."
"Dynamic routes","Dynamische routes"
"parent","Bovenliggend document"
"parent_id","Document ID"
"parent_model","Model"
"parent_controller","Controller"
"parent_action","Action"
"route","Route"
"Routing","Routes"
"Are you sure?","Weet u het zeker?"
"dynamicRoutes_plugin_module_qtip","Laat deze leeg om de module van het bovenliggende document te gebruiken"
"dynamicRoutes_plugin_controller_qtip","Laat deze leeg om de controller van het bovenliggende document te gebruiken"
"dynamicRoutes_plugin_action_qtip","Laat deze leeg om de action van het bovenliggende document te gebruiken"